cycle,start_fitness,mid_fitness,edge_fitness,current_deme
5001,1.0046,1.00835,0.999069,6
5011,1.00509,1.00797,0.992491,8
5021,1.00452,1.00509,0.96804,11
5031,1.00545,1.00164,0.96483,13
5041,1.00518,0.999391,0.96572,15
5051,1.00448,0.994923,0.965635,17
5061,1.00414,0.988695,0.959034,19
5071,1.00591,0.980897,0.956492,23
5081,1.00525,0.97305,0.950027,25
5091,1.00289,0.970662,0.946789,28
5101,1.0062,0.970353,0.932158,30
5111,1.00426,0.973416,0.930981,32
5121,1.00219,0.968143,0.926847,35
5131,1.00138,0.9672,0.926825,37
5141,1.00272,0.963822,0.917614,41
5151,1.00469,0.963662,0.921763,43
5161,0.99871,0.964733,0.921078,46
5171,1.00292,0.961347,0.898829,50
5181,1.00176,0.962552,0.897142,53
5191,1.00108,0.955723,0.896592,56
5201,0.997142,0.954539,0.896592,58
5211,0.999756,0.947855,0.897018,61
5221,1.00157,0.944032,0.896592,63
5231,0.999226,0.942703,0.896579,66
5241,1.00053,0.939232,0.896592,69
5251,0.99992,0.935635,0.896592,71
5261,0.998115,0.934124,0.896592,73
5271,1.0004,0.927779,0.896592,77
5281,0.997029,0.927332,0.896585,80
5291,0.997215,0.924739,0.896576,83
5301,1.00174,0.921916,0.896576,85
5311,1.0029,0.917829,0.896576,88
5321,1.00592,0.916013,0.896576,91
5331,1.00473,0.917583,0.896576,93
5341,1.00427,0.911221,0.896576,95
5351,1.00315,0.913175,0.896576,98
5361,1.00088,0.911914,0.89684,100
5371,1.00626,0.913773,0.896682,102
5381,1.00386,0.9074,0.892468,105
5391,1.00815,0.906749,0.889723,108
5401,1.00712,0.910796,0.884022,111
5411,1.00637,0.902066,0.887071,114
5421,1.00715,0.902965,0.887071,116
5431,1.00192,0.90012,0.887071,119
5441,1.0052,0.899859,0.887071,121
5451,1.00698,0.901075,0.887071,124
5461,1.00377,0.902701,0.887593,125
5471,1.00223,0.900692,0.888377,128
5481,1.00458,0.901293,0.887631,130
5491,1.00649,0.900017,0.887071,133
5501,1.0064,0.900639,0.887414,134
5511,1.0085,0.900714,0.885836,137
5521,1.00783,0.901152,0.884093,139
5531,1.00483,0.900783,0.885201,141
5541,1.00456,0.900261,0.884797,144
5551,1.00138,0.900112,0.881997,146
5561,1.0039,0.899778,0.881997,149
5571,1.00295,0.899884,0.881997,151
5581,1.00368,0.900502,0.882041,153
5591,1.0049,0.901405,0.883295,156
5601,1.0051,0.90108,0.882952,159
5611,1.00728,0.900328,0.88373,162
5621,1.00662,0.901002,0.883729,164
5631,1.00785,0.900859,0.884295,166
5641,1.00589,0.901515,0.883295,169
5651,1.00683,0.902382,0.883295,171
5661,1.00761,0.903735,0.883295,174
5671,1.01205,0.902332,0.883295,178
5681,1.00818,0.902921,0.883295,181
5691,1.01009,0.902184,0.883462,183
5701,1.00855,0.902824,0.883945,186
5711,1.00953,0.90285,0.883295,189
5721,1.00856,0.903105,0.883149,191
5731,1.00752,0.903009,0.883281,194
5741,1.00817,0.903065,0.883281,195
5751,1.0106,0.902744,0.883271,198
5761,1.01288,0.90228,0.882994,201
5771,1.00809,0.90326,0.883183,204
5781,1.00972,0.902262,0.883033,206
5791,1.01195,0.902161,0.88282,208
5801,1.01246,0.902656,0.881549,211
5811,1.01273,0.902136,0.882285,213
5821,1.00898,0.901337,0.883265,215
5831,1.00982,0.902077,0.882989,218
5841,1.00512,0.902312,0.882645,220
5851,1.00713,0.903401,0.882451,223
5861,1.00618,0.903768,0.882465,225
5871,1.00766,0.904646,0.882101,227
5881,1.00712,0.905693,0.882405,229
5891,1.01088,0.904022,0.882761,232
5901,1.01223,0.904699,0.882816,234
5911,1.00701,0.901822,0.8815,236
5921,1.01049,0.901276,0.88234,239
5931,1.00732,0.899636,0.88234,241
5941,1.00864,0.900008,0.88234,243
5951,1.01172,0.898925,0.883314,245
5961,1.00884,0.89521,0.883455,247
5971,1.01076,0.89578,0.882526,250
5981,1.00813,0.898567,0.88234,253
5991,1.00793,0.899414,0.880534,255
6001,1.00783,0.898472,0.880534,258
6011,1.01042,0.899669,0.881022,259
6021,1.00903,0.900317,0.881361,261
6031,1.00714,0.900085,0.880149,266
6041,1.0072,0.899428,0.880078,268
6051,1.0087,0.900226,0.880119,270
6061,1.00993,0.900161,0.880617,272
6071,1.00927,0.897151,0.880119,275
6081,1.0118,0.896453,0.881415,277
6091,1.00815,0.896972,0.879655,280
6101,1.00415,0.89511,0.879655,283
6111,1.00307,0.895926,0.879831,284
6121,1.00537,0.896704,0.879979,287
6131,1.00916,0.895732,0.879655,290
6141,1.00783,0.894522,0.879655,291
6151,1.00767,0.897764,0.879655,295
6161,1.00889,0.900313,0.880518,297
6171,1.00788,0.901937,0.880518,299
6181,1.00863,0.900639,0.88095,302
6191,1.00876,0.900537,0.88095,304
6201,1.00797,0.899755,0.880949,306
6211,1.0076,0.89959,0.880949,309
6221,1.00928,0.896649,0.881382,311
6231,1.00831,0.896845,0.881111,314
6241,1.00599,0.895599,0.881775,315
6251,1.00491,0.894603,0.881102,318
6261,1.0075,0.894901,0.881237,320
6271,1.00662,0.893398,0.880949,323
6281,1.00448,0.892973,0.880949,325
6291,1.0094,0.89337,0.880949,327
6301,1.00682,0.892557,0.880946,329
6311,1.00966,0.892869,0.880949,332
6321,1.00517,0.894,0.880949,334
6331,1.00735,0.893068,0.880909,336
6341,1.00519,0.893536,0.880892,339
6351,1.00694,0.894467,0.880911,342
6361,1.0062,0.894213,0.880839,345
6371,1.00995,0.895759,0.880835,347
6381,1.00919,0.894336,0.878182,349
6391,1.00832,0.893155,0.875623,352
6401,1.01073,0.896987,0.879325,353
6411,1.0118,0.895853,0.875623,356
6421,1.01338,0.897025,0.877799,358
6431,1.01197,0.898477,0.879734,361
6441,1.01287,0.900028,0.881472,363
6451,1.01406,0.898481,0.880099,365
6461,1.01784,0.899726,0.875493,368
6471,1.01576,0.898695,0.875493,371
6481,1.01534,0.898202,0.875493,373
6491,1.01242,0.898875,0.875815,375
6501,1.01277,0.899295,0.87509,377
6511,1.01029,0.899243,0.875776,381
6521,1.01408,0.900799,0.875012,383
6531,1.01196,0.900499,0.875657,385
6541,1.01017,0.89819,0.876782,388
6551,1.0122,0.900431,0.874193,390
6561,1.01212,0.901774,0.874193,393
6571,1.01747,0.899289,0.871697,395
6581,1.01537,0.901449,0.870736,397
6591,1.01306,0.898491,0.874193,400
6601,1.01039,0.898947,0.874193,403
6611,1.01087,0.900548,0.859213,406
6621,1.00861,0.897579,0.859213,409
6631,1.00948,0.898318,0.859213,412
6641,1.00691,0.900043,0.859635,413
6651,1.0088,0.899686,0.859213,415
6661,1.01043,0.901658,0.858964,418
6671,1.01058,0.900278,0.859468,421
6681,1.011,0.899403,0.858924,423
6691,1.01124,0.898788,0.859223,425
6701,1.0089,0.896545,0.85892,427
6711,1.00952,0.895049,0.858701,429
6721,1.00933,0.895448,0.85938,432
6731,1.01112,0.895408,0.859774,435
6741,1.00757,0.89854,0.86104,438
6751,1.00697,0.899102,0.859915,440
6761,1.01349,0.900463,0.859774,443
6771,1.01004,0.899794,0.860089,444
6781,1.01124,0.901691,0.861673,446
6791,1.01123,0.906073,0.862307,449
6801,1.01223,0.905877,0.863576,452
6811,1.01197,0.909221,0.862307,454
6821,1.01238,0.909581,0.862307,456
6831,1.00679,0.908528,0.861221,457
