cycle,start_fitness,mid_fitness,edge_fitness,start_het,mid_het,edge_het,current_deme
2501,0.975878,0.972786,0.967113,7.42117e-05,7.57277e-05,7.52668e-05,5
2511,0.971376,0.966234,0.98015,7.37327e-05,7.93431e-05,6.0875e-05,9
2521,0.963875,0.966301,0.885839,7.25467e-05,7.67965e-05,4.085e-05,11
2531,0.968926,0.964191,0.911087,7.38977e-05,7.40618e-05,3.58125e-05,14
2541,0.96711,0.958399,0.851802,7.21599e-05,7.30522e-05,2.7875e-05,17
2551,0.974055,0.953986,0.851802,7.47061e-05,6.86183e-05,2.5e-05,19
2561,0.974302,0.956953,0.866336,7.80802e-05,6.55672e-05,3.61719e-05,21
2571,0.972017,0.943979,0.848494,7.81681e-05,6.38481e-05,3.49985e-05,23
2581,0.974849,0.949455,0.860306,7.94172e-05,6.25714e-05,3.39175e-05,25
2591,0.975727,0.937472,0.855637,8.01775e-05,6.42537e-05,2.95026e-05,27
2601,0.971726,0.946448,0.85197,7.78252e-05,6.49177e-05,3.02597e-05,29
2611,0.970913,0.932447,0.875034,7.63729e-05,6.28545e-05,3.25918e-05,31
2621,0.974438,0.937058,0.85062,8.0064e-05,5.90688e-05,3.02951e-05,33
2631,0.97379,0.927484,0.90461,8.09783e-05,5.75073e-05,3.3875e-05,36
2641,0.969716,0.93026,0.767431,8.02368e-05,5.76271e-05,6.07031e-06,38
2651,0.971137,0.935235,0.745233,7.98332e-05,6.03132e-05,9.30556e-07,41
2661,0.968154,0.934539,0.745855,7.85582e-05,5.95616e-05,1.28125e-06,43
2671,0.967977,0.9395,0.740599,7.79974e-05,6.06438e-05,4.80372e-07,44
2681,0.962569,0.929248,0.740261,7.79556e-05,6.06409e-05,0.0,47
2691,0.963345,0.929565,0.740261,8.08742e-05,5.75994e-05,0.0,48
2701,0.969224,0.938249,0.743324,8.26526e-05,5.85429e-05,1.75346e-06,50
2711,0.967437,0.922221,0.742123,8.12901e-05,5.52431e-05,1.6875e-06,52
2721,0.969554,0.930788,0.740261,8.06956e-05,5.72085e-05,1.52778e-07,53
2731,0.963322,0.924102,0.743981,8.02444e-05,5.74323e-05,2.25e-06,55
2741,0.970086,0.917806,0.740261,7.88409e-05,5.60067e-05,7.5e-07,58
2751,0.968032,0.898564,0.740261,7.95011e-05,5.66314e-05,1.83625e-06,59
2761,0.967744,0.91761,0.740261,8.13963e-05,5.94048e-05,2.16667e-06,61
2771,0.959804,0.921495,0.740261,7.74264e-05,6.11957e-05,2.83333e-06,63
2781,0.965732,0.909763,0.739438,8.00769e-05,6.00238e-05,2.22685e-06,65
2791,0.966081,0.919274,0.739086,8.0999e-05,5.7924e-05,2.06147e-06,66
2801,0.961131,0.932454,0.739619,7.81037e-05,6.21437e-05,2.48842e-06,68
2811,0.964117,0.913338,0.7378,7.78914e-05,5.83425e-05,2.36111e-06,72
2821,0.957498,0.905238,0.736587,7.9546e-05,5.60433e-05,4.41406e-06,73
2831,0.962415,0.906978,0.740261,7.96599e-05,5.91624e-05,5.80903e-06,74
2841,0.968176,0.889875,0.734153,8.13481e-05,5.27082e-05,4.19444e-06,76
2851,0.964938,0.89472,0.740261,8.33963e-05,5.28078e-05,5.43056e-06,78
2861,0.969748,0.888833,0.740261,8.28948e-05,5.39096e-05,4.5e-06,81
2871,0.967108,0.884586,0.740261,8.1765e-05,5.13743e-05,5.625e-06,82
2881,0.960902,0.885791,0.731488,8.10096e-05,5.62298e-05,6.63375e-06,83
2891,0.967065,0.882012,0.718329,8.21151e-05,5.83481e-05,1.03125e-06,85
2901,0.96388,0.888746,0.734412,8.36324e-05,5.67963e-05,8.05889e-06,86
2911,0.964556,0.879759,0.73388,8.3255e-05,5.31171e-05,7.55469e-06,88
2921,0.960619,0.89406,0.718329,8.25559e-05,5.98833e-05,1.30859e-06,90
2931,0.96408,0.880761,0.717574,8.57831e-05,5.61482e-05,1.90028e-06,92
2941,0.964231,0.877915,0.718329,8.43505e-05,5.59565e-05,2.57908e-06,94
2951,0.956696,0.876392,0.708523,8.09082e-05,5.57286e-05,1.57031e-06,96
